"Simone";"CDRD*1000"
22,717,976;22,399,254.053
22,723,412;22,418,064.511
22,759,564;22,455,415.851
22,834,740;22,537,134.025
22,952,450;22,655,845.688
23,067,860;22,775,891.532
23,191,268;22,902,940.270
23,280,624;22,988,873.221
23,369,478;23,075,045.307
23,421,548;23,122,901.738
23,415,318;23,107,762.418
23,383,744;23,071,594.807
23,328,572;23,012,905.059
23,277,998;22,962,682.955
23,245,272;22,929,730.410
23,238,518;22,924,151.012
23,193,024;22,873,651.009
23,130,432;22,809,833.276
23,040,602;22,713,511.397
22,938,172;22,610,329.546
22,824,254;22,486,802.857
22,706,822;22,374,807.151
22,599,842;22,268,966.587
22,504,426;22,171,699.951
22,458,034;22,107,389.783
22,523,636;22,186,845.557
22,678,368;22,345,796.255
22,827,396;22,505,730.969
22,978,018;22,656,906.919
23,116,224;22,793,661.137
23,250,128;22,929,397.494
23,387,594;23,068,474.459
23,511,932;23,193,198.051
23,626,574;23,307,564.406
23,660,180;23,331,735.993
23,640,250;23,309,660.751
23,586,350;23,251,698.177
23,524,346;23,186,317.807
23,444,086;23,099,490.596
23,281,746;22,932,514.232
23,120,194;22,769,384.938
22,973,534;22,619,269.601
22,777,266;22,414,461.458
22,542,570;22,176,766.176
22,282,738;21,912,206.608
22,024,550;21,652,078.697
21,782,024;21,408,944.222
21,582,242;21,210,013.637
21,498,280;21,145,029.476
21,562,974;21,217,925.743
21,617,772;21,280,296.092
21,703,230;21,368,692.682
21,784,340;21,452,764.185
21,826,172;21,494,782.469
21,816,164;21,482,845.723
21,729,862;21,389,936.495
21,469,942;21,124,210.639
21,124,172;20,780,934.721
20,869,478;20,547,982.855
20,793,886;20,472,670.052
20,713,980;20,384,260.793
20,687,130;20,352,404.478
20,714,868;20,362,392.800
20,983,636;20,669,442.281
21,318,012;21,014,230.824
21,658,338;21,362,416.914
22,003,776;21,709,889.138
22,350,360;22,056,919.564
22,675,466;22,379,614.774
22,963,398;22,671,731.255
23,301,110;23,026,210.572
23,677,398;23,414,726.039
24,108,610;23,865,255.678
24,638,566;24,433,018.077
25,254,402;25,060,050.909
25,857,890;25,673,005.336
26,462,628;26,286,822.638
27,022,536;26,855,228.580
27,233,708;27,033,715.081
27,393,406;27,184,505.064
27,393,502;27,164,616.618
27,337,748;27,105,508.466
27,299,530;27,063,615.206
27,282,280;27,044,678.601
27,272,212;27,031,691.907
27,283,320;27,046,565.010
27,294,900;27,031,842.722
27,007,316;26,738,994.171
26,793,042;26,522,779.466
26,581,378;26,304,360.707
26,384,896;26,096,634.052
26,142,364;25,850,722.005
25,850,318;25,544,526.903
25,515,412;25,204,906.442
25,238,230;24,931,940.632
25,013,008;24,709,079.619
24,852,792;24,549,493.685
25,075,592;24,859,598.274
25,414,022;25,221,947.115
25,739,512;25,560,329.983
26,050,870;25,881,833.298
26,366,112;26,203,701.378
26,663,952;26,511,972.367
26,922,470;26,775,111.930
27,085,506;26,938,046.022
27,202,082;27,060,459.008
27,080,834;26,915,507.065
26,950,098;26,775,789.887
26,845,584;26,668,702.907
26,726,306;26,550,371.378
26,534,390;26,342,423.939
26,347,596;26,150,056.918
26,181,670;25,978,260.551
26,024,056;25,801,671.320
25,857,362;25,641,899.877
25,675,988;25,450,797.494
25,448,484;25,215,066.754
25,224,662;24,985,162.704
25,034,104;24,792,306.656
24,873,246;24,628,293.705
24,765,590;24,521,030.769
24,756,944;24,521,739.699
24,817,716;24,591,485.615
24,890,182;24,667,306.731
24,957,496;24,737,595.751
25,020,170;24,802,700.884
25,072,764;24,856,053.723
25,096,816;24,874,412.289
25,036,834;24,806,382.574
24,954,218;24,721,867.545
24,896,550;24,658,017.599
24,831,532;24,593,373.759
24,761,008;24,522,154.214
24,639,766;24,394,967.627
24,486,524;24,232,222.039
24,339,762;24,084,884.427
24,213,294;23,956,587.895
24,089,598;23,829,264.869
23,974,326;23,711,053.076
23,850,800;23,582,440.024
23,694,896;23,420,944.174
23,526,934;23,250,038.718
23,348,460;23,065,976.546
23,196,768;22,910,840.903
23,086,928;23,054,570.917
23,271,974;23,039,256.689
23,517,738;23,052,662.393
23,765,796;23,073,656.068
24,009,858;23,102,919.214
24,252,586;23,135,927.512
24,490,412;23,168,146.456
24,689,202;23,205,423.153
24,594,798;23,231,737.185
24,481,932;23,238,291.495
24,415,854;23,217,578.127
24,376,790;23,173,980.781
24,324,478;23,136,110.079
24,241,516;23,071,843.682
24,160,076;23,020,163.352
24,087,390;22,994,659.608
24,013,992;22,984,054.752
23,949,100;22,962,723.093
23,881,292;22,918,674.999
23,788,690;22,826,612.354
23,679,394;22,719,204.791
23,564,396;22,616,587.666
23,465,070;22,535,988.745
23,400,218;22,509,028.490
23,346,694;22,516,631.421
23,335,802;22,536,277.899
23,347,016;22,629,529.977
23,366,556;22,736,751.548
23,395,182;22,812,537.824
23,427,520;22,887,709.917
23,460,946;22,959,276.545
23,495,354;23,008,833.602
23,524,454;23,048,633.815
23,535,132;23,070,199.491
23,518,972;23,017,547.206
23,477,222;22,948,732.902
23,444,708;22,805,007.745
23,385,272;22,708,919.518
23,332,682;22,641,220.098
23,305,448;22,595,184.292
23,294,444;22,572,088.993
23,275,252;22,554,220.890
23,235,718;22,518,046.227
23,150,122;22,430,132.621
23,043,308;22,312,775.509
22,940,800;22,190,217.252
22,856,034;22,116,999.285
22,822,906;22,055,884.705
22,828,040;22,076,374.567
22,853,270;22,308,919.402
22,940,200;22,572,513.076
23,044,892;22,830,014.417
23,119,306;23,079,656.520
23,192,864;23,314,613.930
23,262,854;23,490,387.077
23,312,724;23,581,658.321
23,351,724;23,534,383.615
23,375,336;23,415,094.620
23,331,372;23,327,652.659
23,266,634;23,248,766.268
23,131,648;23,170,693.487
23,033,024;23,158,153.118
22,961,992;23,150,650.440
22,914,254;23,153,963.200
22,889,552;23,154,598.014
22,869,282;23,165,512.670
22,834,584;23,169,607.190
22,749,082;23,148,290.942
22,633,484;23,081,366.600
22,510,028;23,009,451.933
22,438,886;23,010,032.896
22,375,472;23,111,322.203
22,386,956;23,268,014.866
22,589,408;23,491,555.280
22,845,664;23,733,464.317
23,098,014;23,980,839.308
23,341,572;24,227,338.316
23,574,174;24,442,608.028
23,751,398;24,642,736.860
23,850,902;24,800,340.360
23,813,922;24,841,175.711
23,703,798;24,823,372.358
23,614,806;24,811,934.308
23,537,192;24,596,644.010
23,462,062;24,383,220.628
23,446,664;24,228,205.328
23,437,762;24,078,953.594
23,440,432;23,975,216.241
23,440,164;23,897,626.861
23,448,530;23,824,649.036
23,465,804;23,690,270.482
23,445,038;23,478,702.448
23,381,666;23,237,433.837
23,308,602;22,968,395.537
23,300,500;22,707,071.430
23,381,086;22,537,551.613
23,521,682;22,475,252.009
23,752,180;22,564,376.401
23,987,322;22,890,650.229
24,225,772;23,217,428.290
24,465,288;23,530,038.883
24,675,278;23,838,683.870
24,871,886;24,102,868.167
25,027,880;24,323,427.329
25,075,102;24,305,917.571
25,060,010;24,225,250.261
25,053,780;24,153,532.292
24,859,326;24,104,805.212
24,652,168;24,054,291.341
24,513,726;23,965,762.941
24,360,184;23,882,709.645
24,261,746;23,792,958.607
24,186,658;23,703,219.926
24,118,202;23,608,209.788
23,988,386;23,525,761.407
23,783,634;23,418,840.985
23,546,824;23,274,467.339
23,276,674;23,124,973.441
23,019,880;22,938,404.277
22,851,336;22,793,505.038
22,776,720;22,741,851.224
22,858,314;22,919,885.857
23,168,540;23,154,443.982
23,484,062;23,384,283.700
23,789,884;23,603,575.833
24,090,788;23,812,333.054
24,347,934;24,013,122.862
24,570,390;24,113,739.815
24,566,846;24,065,151.111
24,499,896;23,989,588.531
24,433,936;23,900,276.109
24,387,722;23,829,688.053
24,340,678;23,773,139.422
24,256,212;23,731,856.409
24,171,366;23,688,894.638
24,089,832;23,649,636.529
23,999,836;23,610,008.783
23,908,156;23,558,981.931
23,828,306;23,506,591.393
23,725,712;23,421,925.973
23,588,674;23,302,570.506
23,455,612;23,123,610.767
23,260,350;22,998,791.913
23,119,182;22,935,016.441
23,063,974;22,941,856.647
23,214,372;23,166,503.332
23,436,206;23,394,452.259
23,658,694;23,639,627.618
23,875,318;23,895,037.388
24,082,174;24,146,561.263
24,274,342;24,363,756.810
24,381,456;24,430,836.503
24,341,960;24,229,954.780
24,267,248;23,970,077.500
24,179,574;23,730,165.407
24,110,138;23,523,839.274
24,053,958;23,303,462.065
24,013,912;23,114,477.952
23,970,380;22,923,145.787
23,931,084;22,875,552.812
23,889,506;22,843,290.313
23,838,624;22,817,331.236
23,786,670;22,778,425.760
23,704,646;22,712,068.268
23,592,416;22,625,449.386
23,413,682;22,533,041.791
23,284,894;22,460,246.030
23,215,564;22,413,086.527
23,217,076;22,788,420.569
23,404,020;22,941,578.298
23,620,518;23,097,971.949
23,853,816;23,302,624.005
24,104,434;23,529,330.575
24,351,414;23,748,059.748
24,567,488;23,957,301.867
24,644,810;24,147,842.661
24,469,966;24,263,797.576
24,229,496;24,389,122.613
23,992,550;24,441,070.568
23,781,556;24,468,047.402
23,574,186;24,502,179.804
23,388,096;24,530,172.619
23,202,972;24,584,510.286
23,138,944;24,663,561.425
23,102,112;24,743,006.443
23,072,958;24,818,455.477
23,034,264;24,874,071.913
22,971,414;24,917,263.267
22,886,002;24,926,340.832
22,795,630;24,933,295.253
22,719,436;24,962,096.991
22,673,134;25,006,334.372
22,610,446;22,355,701.557
22,678,594;22,423,769.218
22,810,654;22,562,200.587
22,981,838;22,741,363.279
23,176,980;22,943,363.840
23,394,702;23,166,065.340
23,613,144;23,389,086.040
23,819,746;23,598,191.635
23,973,084;23,752,165.937
24,055,794;23,831,091.589
24,096,350;23,867,129.437
24,090,158;23,858,596.218
24,052,624;23,816,829.981
24,015,680;23,776,650.354
24,020,130;23,777,497.723
24,035,790;23,801,076.844
24,105,546;23,868,937.479
24,131,698;23,892,912.963
24,107,830;23,855,642.122
23,887,666;23,619,712.465
23,656,904;23,380,167.479
23,426,490;23,138,245.096
23,236,260;22,947,975.748
23,138,016;22,853,468.790
23,071,956;25,076,221.571
23,185,392;25,307,647.445
23,333,094;25,570,861.983
23,527,372;25,821,306.836
23,743,808;26,053,026.142
23,958,524;26,270,786.483
24,162,804;26,469,999.299
24,353,674;26,470,230.915
24,471,718;26,295,208.660
24,600,452;26,059,564.187
24,660,360;25,840,451.144
24,691,264;25,678,863.176
24,730,044;25,512,553.548
24,759,174;25,393,314.037
24,810,896;25,304,536.223
24,886,428;25,155,581.202
24,968,314;25,007,427.907
25,041,934;24,828,286.414
25,102,994;24,635,297.546
25,143,424;24,399,940.662
25,156,028;24,131,607.548
25,161,540;23,860,949.002
25,187,016;23,633,275.649
25,224,660;23,433,938.893
25,278,786;23,350,893.747
25,526,338;23,462,738.009
25,768,128;23,568,926.679
26,011,594;23,668,220.460
26,237,786;23,779,400.503
26,449,194;23,885,786.807
26,645,858;23,958,972.866
26,660,260;23,909,506.932
26,500,382;23,744,132.482
26,271,802;23,562,346.789
26,051,786;23,378,446.808
25,886,430;23,208,568.756
25,716,896;23,047,977.004
25,602,584;22,912,645.475
25,515,544;22,793,568.425
25,380,908;22,707,183.975
25,238,794;22,654,748.090
25,067,450;22,714,293.272
24,880,390;22,728,672.412
24,648,006;22,740,651.411
24,392,440;22,718,885.265
24,115,578;22,674,131.597
23,887,540;22,658,211.271
23,685,428;22,696,858.090
23,594,930;22,836,524.328
23,656,058;23,099,236.437
23,758,230;23,346,336.396
23,851,982;23,604,158.327
23,957,770;23,861,684.028
24,062,130;24,115,061.934
24,135,868;24,315,806.115
24,096,174;24,390,571.661
23,943,332;24,362,302.354
23,769,400;24,278,455.540
23,591,774;24,244,060.357
23,428,610;24,220,107.928
22,956,168;24,127,105.030
22,716,770;24,013,570.180
22,602,572;23,891,995.681
22,513,058;23,821,604.169
22,460,306;23,755,635.342
22,507,778;23,634,206.759
22,521,138;23,453,644.840
22,529,760;23,232,883.622
22,509,150;22,944,262.502
22,463,542;22,667,728.897
22,443,762;22,433,192.779
22,474,300;22,297,340.669
22,599,900;22,297,956.405
22,834,750;22,511,729.724
23,076,454;22,710,056.057
23,325,270;22,910,309.011
23,579,754;23,106,356.916
23,819,560;23,283,143.133
24,018,164;23,397,771.823
24,098,196;23,379,589.584
24,077,512;23,231,984.032
23,998,652;23,067,024.338
23,961,380;23,010,716.333
23,939,818;22,952,370.695
23,850,770;22,874,480.348
23,733,348;22,778,610.268
23,613,500;22,740,530.622
23,961,690;22,723,032.988
23,898,470;22,738,276.042
23,781,864;22,727,551.333
23,608,964;22,709,295.794
23,393,164;22,671,511.086
23,116,676;22,644,851.882
22,842,816;22,618,927.296
22,609,752;22,656,306.899
22,467,900;22,723,185.138
22,458,196;23,273,470.192
22,616,812;23,213,946.773
22,805,922;23,208,928.026
22,998,002;23,295,705.496
23,189,832;23,430,747.145
23,360,932;23,560,454.402
23,477,436;23,690,073.246
23,468,278;23,809,013.407
23,334,918;23,911,360.834
23,172,030;23,958,657.418
23,092,420;23,972,875.518
23,008,816;23,945,669.110
22,981,876;23,905,820.146
22,887,402;23,876,645.398
22,852,952;23,850,889.805
22,836,142;23,860,955.385
22,846,544;23,898,824.399
22,835,374;23,879,611.403
22,818,714;23,808,036.043
22,781,754;23,667,138.875
22,756,408;23,500,266.602
22,727,844;23,310,342.825
22,759,362;23,168,722.090
22,819,222;23,063,274.731
22,917,310;22,973,760.328
23,156,074;22,826,475.539
23,451,902;22,797,340.385
23,749,864;22,897,058.947
24,043,534;23,034,973.077
24,332,944;23,171,497.151
24,621,216;23,303,877.793
24,809,432;23,394,632.101
24,872,780;23,473,140.780
24,858,368;23,508,619.425
24,861,554;23,502,707.854
24,877,594;23,443,453.051
24,890,036;23,327,405.247
24,889,190;23,191,199.789
24,911,352;23,060,076.286
24,819,298;22,986,992.711
24,726,194;22,904,093.030
24,614,562;22,814,599.772
24,461,974;22,731,018.179
24,253,470;22,629,276.456
24,028,690;22,529,574.803
23,808,586;22,417,974.328
23,617,006;22,332,774.407
23,470,210;22,278,168.083
23,397,108;22,829,588.521
23,331,154;23,090,986.753
23,316,802;23,395,506.128
23,394,012;23,703,475.517
23,523,656;24,004,000.331
23,648,622;24,306,514.429
23,775,290;24,602,426.919
23,894,240;24,790,452.533
23,996,688;24,847,128.787
24,052,342;24,825,907.006
24,072,982;24,828,617.519
24,052,276;24,843,923.056
24,017,996;24,854,983.467
23,990,950;24,855,127.891
23,968,114;24,880,138.349
23,976,964;24,763,302.556
24,011,620;24,660,267.825
24,000,968;24,537,899.842
23,940,566;24,374,033.529
23,811,066;24,155,526.246
23,653,588;23,921,134.604
23,474,048;23,689,718.614
23,331,460;23,494,930.074
23,226,902;23,346,040.725
23,141,222;22,336,261.957
23,068,314;22,546,886.876
23,022,834;22,714,569.522
23,112,888;22,854,407.545
23,243,932;23,026,054.206
23,373,442;23,212,596.165
23,503,092;23,334,449.340
23,593,030;23,329,622.334
23,671,776;23,170,547.591
23,712,536;22,972,705.753
23,711,984;22,774,346.989
23,659,824;22,768,105.170
23,557,702;22,794,180.002
23,426,642;22,835,829.174
23,299,720;22,848,391.590
23,225,732;22,863,630.559
23,146,116;22,903,154.693
23,056,966;22,909,202.854
22,976,734;22,919,697.071
22,881,520;22,884,343.147
22,783,536;22,793,180.570
22,673,678;22,687,865.679
22,585,794;22,623,273.440
22,530,400;22,584,327.423
22,574,850;22,702,565.583
22,763,320;23,013,579.475
22,921,508;23,410,882.399
23,051,362;23,803,035.224
23,215,288;24,187,101.320
23,396,112;24,550,853.114
23,520,770;24,824,422.089
23,532,610;25,028,318.781
23,385,482;25,047,472.053
23,191,860;25,027,104.324
22,998,472;25,031,487.010
22,975,290;25,021,042.760
23,008,756;24,704,548.219
23,051,164;24,521,198.784
23,067,588;24,346,714.962
23,085,618;24,158,239.458
23,125,362;24,000,485.894
23,133,786;23,810,175.403
23,140,728;23,610,851.411
23,107,646;23,397,238.472
23,022,978;23,137,589.703
22,921,164;22,835,156.847
22,852,946;22,552,505.242
22,809,458;22,288,739.537
22,907,648;22,135,815.679
23,191,746;22,239,083.085
23,575,974;22,400,203.764
23,961,736;22,637,662.445
24,339,800;22,890,468.540
24,698,330;23,145,480.188
24,972,424;23,365,074.506
25,179,554;23,470,038.503
25,213,796;23,488,344.456
25,200,610;23,453,378.254
25,206,088;23,453,386.919
25,203,254;23,483,749.086
24,917,110;23,513,970.436
24,717,104;23,550,192.687
24,541,150;23,590,998.156
24,349,652;23,650,784.553
24,190,126;23,626,248.516
24,002,622;23,590,030.739
23,804,680;23,474,225.269
23,594,534;23,300,559.116
23,339,448;23,097,403.540
23,042,134;22,877,973.603
22,759,164;22,689,302.485
22,496,056;22,561,355.476
22,331,516;22,464,018.710
22,412,972;22,681,484.980
22,554,984;22,819,541.462
22,774,952;23,022,662.135
23,010,528;23,256,695.472
23,252,896;23,448,476.364
23,460,616;23,579,497.779
23,569,386;23,592,443.795
23,590,424;23,483,573.715
23,555,888;23,354,424.543
23,552,638;23,305,170.365
23,580,136;23,297,650.945
23,608,054;23,290,568.361
23,637,430;23,357,284.991
23,677,608;23,402,082.197
23,735,076;23,439,052.330
23,722,028;23,495,205.216
23,691,450;23,516,787.438
23,581,642;23,542,478.820
23,413,576;23,523,497.407
23,218,934;23,486,080.061
23,006,650;23,440,538.271
22,819,628;23,422,381.895
22,693,642;23,453,643.784
22,596,988;23,557,169.602
22,655,402;23,801,647.284
22,774,974;24,073,258.962
22,955,876;24,367,929.158
23,169,812;24,646,026.544
23,354,958;24,916,374.909
23,485,688;25,152,960.521
23,505,962;25,200,652.003
23,404,838;25,091,160.780
23,274,800;24,936,429.030
23,224,864;24,780,521.678
23,219,012;24,647,151.384
23,222,152;24,524,653.190
23,284,706;24,411,100.804
23,326,966;24,328,539.864
23,359,312;24,246,163.600
23,409,870;24,180,471.326
23,430,152;24,092,212.232
23,453,526;23,969,521.606
23,438,582;23,814,505.817
23,383,268;23,633,088.660
23,339,778;23,444,247.690
23,320,884;23,332,190.242
23,347,150;23,327,700.090
23,439,620;23,377,612.058
23,636,336;23,361,546.388
23,895,772;23,492,796.171
24,174,102;23,623,367.024
