"Simone";"CDRD*1000"
22717976;22399254.053
22723412;22418064.511
22759564;22455415.851
22834740;22537134.025
22952450;22655845.688
23067860;22775891.532
23191268;22902940.27
23280624;22988873.221
23369478;23075045.307
23421548;23122901.738
23415318;23107762.418
23383744;23071594.807
23328572;23012905.059
23277998;22962682.955
23245272;22929730.41
23238518;22924151.012
23193024;22873651.009
23130432;22809833.276
23040602;22713511.397
22938172;22610329.546
22824254;22486802.857
22706822;22374807.151
22599842;22268966.587
22504426;22171699.951
22458034;22107389.783
22523636;22186845.557
22678368;22345796.255
22827396;22505730.969
22978018;22656906.919
23116224;22793661.137
23250128;22929397.494
23387594;23068474.459
23511932;23193198.051
23626574;23307564.406
23660180;23331735.993
23640250;23309660.751
23586350;23251698.177
23524346;23186317.807
23444086;23099490.596
23281746;22932514.232
23120194;22769384.938
22973534;22619269.601
22777266;22414461.458
22542570;22176766.176
22282738;21912206.608
22024550;21652078.697
21782024;21408944.222
21582242;21210013.637
21498280;21145029.476
21562974;21217925.743
21617772;21280296.092
21703230;21368692.682
21784340;21452764.185
21826172;21494782.469
21816164;21482845.723
21729862;21389936.495
21469942;21124210.639
21124172;20780934.721
20869478;20547982.855
20793886;20472670.052
20713980;20384260.793
20687130;20352404.478
20714868;20362392.8
20983636;20669442.281
21318012;21014230.824
21658338;21362416.914
22003776;21709889.138
22350360;22056919.564
22675466;22379614.774
22963398;22671731.255
23301110;23026210.572
23677398;23414726.039
24108610;23865255.678
24638566;24433018.077
25254402;25060050.909
25857890;25673005.336
26462628;26286822.638
27022536;26855228.58
27233708;27033715.081
27393406;27184505.064
27393502;27164616.618
27337748;27105508.466
27299530;27063615.206
27282280;27044678.601
27272212;27031691.907
27283320;27046565.01
27294900;27031842.722
27007316;26738994.171
26793042;26522779.466
26581378;26304360.707
26384896;26096634.052
26142364;25850722.005
25850318;25544526.903
25515412;25204906.442
25238230;24931940.632
25013008;24709079.619
24852792;24549493.685
25075592;24859598.274
25414022;25221947.115
25739512;25560329.983
26050870;25881833.298
26366112;26203701.378
26663952;26511972.367
26922470;26775111.93
27085506;26938046.022
27202082;27060459.008
27080834;26915507.065
26950098;26775789.887
26845584;26668702.907
26726306;26550371.378
26534390;26342423.939
26347596;26150056.918
26181670;25978260.551
26024056;25801671.32
25857362;25641899.877
25675988;25450797.494
25448484;25215066.754
25224662;24985162.704
25034104;24792306.656
24873246;24628293.705
24765590;24521030.769
24756944;24521739.699
24817716;24591485.615
24890182;24667306.731
24957496;24737595.751
25020170;24802700.884
25072764;24856053.723
25096816;24874412.289
25036834;24806382.574
24954218;24721867.545
24896550;24658017.599
24831532;24593373.759
24761008;24522154.214
24639766;24394967.627
24486524;24232222.039
24339762;24084884.427
24213294;23956587.895
24089598;23829264.869
23974326;23711053.076
23850800;23582440.024
23694896;23420944.174
23526934;23250038.718
23348460;23065976.546
23196768;22910840.903
23086928;23054570.917
23271974;23039256.689
23517738;23052662.393
23765796;23073656.068
24009858;23102919.214
24252586;23135927.512
24490412;23168146.456
24689202;23205423.153
24594798;23231737.185
24481932;23238291.495
24415854;23217578.127
24376790;23173980.781
24324478;23136110.079
24241516;23071843.682
24160076;23020163.352
24087390;22994659.608
24013992;22984054.752
23949100;22962723.093
23881292;22918674.999
23788690;22826612.354
23679394;22719204.791
23564396;22616587.666
23465070;22535988.745
23400218;22509028.49
23346694;22516631.421
23335802;22536277.899
23347016;22629529.977
23366556;22736751.548
23395182;22812537.824
23427520;22887709.917
23460946;22959276.545
23495354;23008833.602
23524454;23048633.815
23535132;23070199.491
23518972;23017547.206
23477222;22948732.902
23444708;22805007.745
23385272;22708919.518
23332682;22641220.098
23305448;22595184.292
23294444;22572088.993
23275252;22554220.89
23235718;22518046.227
23150122;22430132.621
23043308;22312775.509
22940800;22190217.252
22856034;22116999.285
22822906;22055884.705
22828040;22076374.567
22853270;22308919.402
22940200;22572513.076
23044892;22830014.417
23119306;23079656.52
23192864;23314613.93
23262854;23490387.077
23312724;23581658.321
23351724;23534383.615
23375336;23415094.62
23331372;23327652.659
23266634;23248766.268
23131648;23170693.487
23033024;23158153.118
22961992;23150650.44
22914254;23153963.2
22889552;23154598.014
22869282;23165512.67
22834584;23169607.19
22749082;23148290.942
22633484;23081366.6
22510028;23009451.933
22438886;23010032.896
22375472;23111322.203
22386956;23268014.866
22589408;23491555.28
22845664;23733464.317
23098014;23980839.308
23341572;24227338.316
23574174;24442608.028
23751398;24642736.86
23850902;24800340.36
23813922;24841175.711
23703798;24823372.358
23614806;24811934.308
23537192;24596644.01
23462062;24383220.628
23446664;24228205.328
23437762;24078953.594
23440432;23975216.241
23440164;23897626.861
23448530;23824649.036
23465804;23690270.482
23445038;23478702.448
23381666;23237433.837
23308602;22968395.537
23300500;22707071.43
23381086;22537551.613
23521682;22475252.009
23752180;22564376.401
23987322;22890650.229
24225772;23217428.29
24465288;23530038.883
24675278;23838683.87
24871886;24102868.167
25027880;24323427.329
25075102;24305917.571
25060010;24225250.261
25053780;24153532.292
24859326;24104805.212
24652168;24054291.341
24513726;23965762.941
24360184;23882709.645
24261746;23792958.607
24186658;23703219.926
24118202;23608209.788
23988386;23525761.407
23783634;23418840.985
23546824;23274467.339
23276674;23124973.441
23019880;22938404.277
22851336;22793505.038
22776720;22741851.224
22858314;22919885.857
23168540;23154443.982
23484062;23384283.7
23789884;23603575.833
24090788;23812333.054
24347934;24013122.862
24570390;24113739.815
24566846;24065151.111
24499896;23989588.531
24433936;23900276.109
24387722;23829688.053
24340678;23773139.422
24256212;23731856.409
24171366;23688894.638
24089832;23649636.529
23999836;23610008.783
23908156;23558981.931
23828306;23506591.393
23725712;23421925.973
23588674;23302570.506
23455612;23123610.767
23260350;22998791.913
23119182;22935016.441
23063974;22941856.647
23214372;23166503.332
23436206;23394452.259
23658694;23639627.618
23875318;23895037.388
24082174;24146561.263
24274342;24363756.81
24381456;24430836.503
24341960;24229954.78
24267248;23970077.5
24179574;23730165.407
24110138;23523839.274
24053958;23303462.065
24013912;23114477.952
23970380;22923145.787
23931084;22875552.812
23889506;22843290.313
23838624;22817331.236
23786670;22778425.76
23704646;22712068.268
23592416;22625449.386
23413682;22533041.791
23284894;22460246.03
23215564;22413086.527
23217076;22788420.569
23404020;22941578.298
23620518;23097971.949
23853816;23302624.005
24104434;23529330.575
24351414;23748059.748
24567488;23957301.867
24644810;24147842.661
24469966;24263797.576
24229496;24389122.613
23992550;24441070.568
23781556;24468047.402
23574186;24502179.804
23388096;24530172.619
23202972;24584510.286
23138944;24663561.425
23102112;24743006.443
23072958;24818455.477
23034264;24874071.913
22971414;24917263.267
22886002;24926340.832
22795630;24933295.253
22719436;24962096.991
22673134;25006334.372
22610446;22355701.557
22678594;22423769.218
22810654;22562200.587
22981838;22741363.279
23176980;22943363.84
23394702;23166065.34
23613144;23389086.04
23819746;23598191.635
23973084;23752165.937
24055794;23831091.589
24096350;23867129.437
24090158;23858596.218
24052624;23816829.981
24015680;23776650.354
24020130;23777497.723
24035790;23801076.844
24105546;23868937.479
24131698;23892912.963
24107830;23855642.122
23887666;23619712.465
23656904;23380167.479
23426490;23138245.096
23236260;22947975.748
23138016;22853468.79
23071956;25076221.571
23185392;25307647.445
23333094;25570861.983
23527372;25821306.836
23743808;26053026.142
23958524;26270786.483
24162804;26469999.299
24353674;26470230.915
24471718;26295208.66
24600452;26059564.187
24660360;25840451.144
24691264;25678863.176
24730044;25512553.548
24759174;25393314.037
24810896;25304536.223
24886428;25155581.202
24968314;25007427.907
25041934;24828286.414
25102994;24635297.546
25143424;24399940.662
25156028;24131607.548
25161540;23860949.002
25187016;23633275.649
25224660;23433938.893
25278786;23350893.747
25526338;23462738.009
25768128;23568926.679
26011594;23668220.46
26237786;23779400.503
26449194;23885786.807
26645858;23958972.866
26660260;23909506.932
26500382;23744132.482
26271802;23562346.789
26051786;23378446.808
25886430;23208568.756
25716896;23047977.004
25602584;22912645.475
25515544;22793568.425
25380908;22707183.975
25238794;22654748.09
25067450;22714293.272
24880390;22728672.412
24648006;22740651.411
24392440;22718885.265
24115578;22674131.597
23887540;22658211.271
23685428;22696858.09
23594930;22836524.328
23656058;23099236.437
23758230;23346336.396
23851982;23604158.327
23957770;23861684.028
24062130;24115061.934
24135868;24315806.115
24096174;24390571.661
23943332;24362302.354
23769400;24278455.54
23591774;24244060.357
23428610;24220107.928
22956168;24127105.03
22716770;24013570.18
22602572;23891995.681
22513058;23821604.169
22460306;23755635.342
22507778;23634206.759
22521138;23453644.84
22529760;23232883.622
22509150;22944262.502
22463542;22667728.897
22443762;22433192.779
22474300;22297340.669
22599900;22297956.405
22834750;22511729.724
23076454;22710056.057
23325270;22910309.011
23579754;23106356.916
23819560;23283143.133
24018164;23397771.823
24098196;23379589.584
24077512;23231984.032
23998652;23067024.338
23961380;23010716.333
23939818;22952370.695
23850770;22874480.348
23733348;22778610.268
23613500;22740530.622
23961690;22723032.988
23898470;22738276.042
23781864;22727551.333
23608964;22709295.794
23393164;22671511.086
23116676;22644851.882
22842816;22618927.296
22609752;22656306.899
22467900;22723185.138
22458196;23273470.192
22616812;23213946.773
22805922;23208928.026
22998002;23295705.496
23189832;23430747.145
23360932;23560454.402
23477436;23690073.246
23468278;23809013.407
23334918;23911360.834
23172030;23958657.418
23092420;23972875.518
23008816;23945669.11
22981876;23905820.146
22887402;23876645.398
22852952;23850889.805
22836142;23860955.385
22846544;23898824.399
22835374;23879611.403
22818714;23808036.043
22781754;23667138.875
22756408;23500266.602
22727844;23310342.825
22759362;23168722.09
22819222;23063274.731
22917310;22973760.328
23156074;22826475.539
23451902;22797340.385
23749864;22897058.947
24043534;23034973.077
24332944;23171497.151
24621216;23303877.793
24809432;23394632.101
24872780;23473140.78
24858368;23508619.425
24861554;23502707.854
24877594;23443453.051
24890036;23327405.247
24889190;23191199.789
24911352;23060076.286
24819298;22986992.711
24726194;22904093.03
24614562;22814599.772
24461974;22731018.179
24253470;22629276.456
24028690;22529574.803
23808586;22417974.328
23617006;22332774.407
23470210;22278168.083
23397108;22829588.521
23331154;23090986.753
23316802;23395506.128
23394012;23703475.517
23523656;24004000.331
23648622;24306514.429
23775290;24602426.919
23894240;24790452.533
23996688;24847128.787
24052342;24825907.006
24072982;24828617.519
24052276;24843923.056
24017996;24854983.467
23990950;24855127.891
23968114;24880138.349
23976964;24763302.556
24011620;24660267.825
24000968;24537899.842
23940566;24374033.529
23811066;24155526.246
23653588;23921134.604
23474048;23689718.614
23331460;23494930.074
23226902;23346040.725
23141222;22336261.957
23068314;22546886.876
23022834;22714569.522
23112888;22854407.545
23243932;23026054.206
23373442;23212596.165
23503092;23334449.34
23593030;23329622.334
23671776;23170547.591
23712536;22972705.753
23711984;22774346.989
23659824;22768105.17
23557702;22794180.002
23426642;22835829.174
23299720;22848391.59
23225732;22863630.559
23146116;22903154.693
23056966;22909202.854
22976734;22919697.071
22881520;22884343.147
22783536;22793180.57
22673678;22687865.679
22585794;22623273.44
22530400;22584327.423
22574850;22702565.583
22763320;23013579.475
22921508;23410882.399
23051362;23803035.224
23215288;24187101.32
23396112;24550853.114
23520770;24824422.089
23532610;25028318.781
23385482;25047472.053
23191860;25027104.324
22998472;25031487.01
22975290;25021042.76
23008756;24704548.219
23051164;24521198.784
23067588;24346714.962
23085618;24158239.458
23125362;24000485.894
23133786;23810175.403
23140728;23610851.411
23107646;23397238.472
23022978;23137589.703
22921164;22835156.847
22852946;22552505.242
22809458;22288739.537
22907648;22135815.679
23191746;22239083.085
23575974;22400203.764
23961736;22637662.445
24339800;22890468.54
24698330;23145480.188
24972424;23365074.506
25179554;23470038.503
25213796;23488344.456
25200610;23453378.254
25206088;23453386.919
25203254;23483749.086
24917110;23513970.436
24717104;23550192.687
24541150;23590998.156
24349652;23650784.553
24190126;23626248.516
24002622;23590030.739
23804680;23474225.269
23594534;23300559.116
23339448;23097403.54
23042134;22877973.603
22759164;22689302.485
22496056;22561355.476
22331516;22464018.71
22412972;22681484.98
22554984;22819541.462
22774952;23022662.135
23010528;23256695.472
23252896;23448476.364
23460616;23579497.779
23569386;23592443.795
23590424;23483573.715
23555888;23354424.543
23552638;23305170.365
23580136;23297650.945
23608054;23290568.361
23637430;23357284.991
23677608;23402082.197
23735076;23439052.33
23722028;23495205.216
23691450;23516787.438
23581642;23542478.82
23413576;23523497.407
23218934;23486080.061
23006650;23440538.271
22819628;23422381.895
22693642;23453643.784
22596988;23557169.602
22655402;23801647.284
22774974;24073258.962
22955876;24367929.158
23169812;24646026.544
23354958;24916374.909
23485688;25152960.521
23505962;25200652.003
23404838;25091160.78
23274800;24936429.03
23224864;24780521.678
23219012;24647151.384
23222152;24524653.19
23284706;24411100.804
23326966;24328539.864
23359312;24246163.6
23409870;24180471.326
23430152;24092212.232
23453526;23969521.606
23438582;23814505.817
23383268;23633088.66
23339778;23444247.69
23320884;23332190.242
23347150;23327700.09
23439620;23377612.058
23636336;23361546.388
23895772;23492796.171
24174102;23623367.024
24443970;23746012.7
24709766;23877373.196
24944512;24022923.117
25012712;24151006.969
24922308;24218904.539
24778476;24239762.753
24628388;24220223.475
24507354;24184387.754
24390938;24127053.927
24298316;24054673.913
24221678;24017253.792
24142076;24012996.407
24079306;24015210.916
23998928;23985672.783
23886842;23918332.431
23740894;23782529.06
23570734;23618685.831
23388816;23458465.146
23274102;23330459.359
23259162;23264079.376
23296728;23256389.87
23346736;23266894.971
23472558;23306869.115
23596390;23384430.528
23714466;23476180.112
23840212;23563578.741
23982132;23654261.833
24107472;23734914.091
24178634;23820645.199
24200558;23880878.728
24182110;23894460.666
24149396;23892966.685
24095000;23884036.346
24029640;23895467.161
23993206;23883589.296
23985326;23911196.286
23988000;23969153.117
23960146;24030933.173
23899260;24081956.337
23770364;23994125.078
23613378;23826842.53
23458072;23662285.346
23326174;23522134.828
23255266;23417273.72
23247786;23341978.468
23255718;23614987.493
23289122;23972881.987
23362028;24314458.115
23447406;24607654.675
23530066;24870717.564
23614800;25096543.593
23693554;25201885.284
23775884;24983059.559
23838794;24727912.167
23858194;24477839.086
23860584;24286535.495
23852166;24063611.175
23863408;23875885.131
23853590;23711632.677
23878600;23527817.688
23933960;23364527.489
23996384;23194583.817
24045618;22994006.313
23975160;22745278.783
23820496;22460113.181
23668788;22161962.633
23533736;21926486.148
23434062;21762089.565
23349938;21699641.568
23584530;21791554.754
23911620;22021077.307
24234736;22252294.241
24512508;22467577.602
24764282;22676295.289
24979038;22838447.015
25086550;22916073.726
24908126;22882079.018
24667456;22888658.577
24429504;22910387.647
24249908;22963996.095
24044140;23000157.751
23868090;23043628.545
23709548;23097512.637
23535610;23157545.747
23384452;23130304.699
23210554;23092651.463
23021064;23054640.631
22782318;22969396.384
22506662;22853278.73
22219978;22710838.111
21989114;22545202.903
21827284;22480634.719
21760110;22453136.939
21825396;22514796.371
22040510;22637245.485
22261204;22756393.786
22464204;22883432.596
22661120;22997732.031
22811484;23088442.648
22890360;23071440.782
22860882;22908732.285
22872024;22721590.325
22900672;22508393.922
22953190;22331965.17
22987748;22160043.925
23027906;21982506.461
23079742;21949222.993
23136086;22005423.678
23121080;22101132.794
23086006;22132760.416
23052484;22154492.454
22973892;22306704.837
22867856;22438168.172
22734032;22566246.469
22577800;22715311.302
22508132;22911199.267
22477822;23164014.015
22533330;23493192.747
22651072;23841613.37
22766636;24192394.167
22888218;24571810.689
23001340;24815122.048
23094614;25003167.331
23097406;25030778.105
23097406;24918321.44
22782810;24815623.688
22782810;24760803.579
22390022;24665086.35
22221000;24609161.613
22050806;24593971.553
22006774;24343679.479
22048604;24117287.213
22134704;23919457.554
22161458;23681546.074
22176722;23470192.332
22299634;23217195.07
22422512;22909857.742
22543286;22593363.783
22681124;22320563.264
22864508;22077852.811
23092474;21942957.846
23383652;22116531.365
23706624;22357113.346
24039124;22570159.838
24395676;22781008.406
24637154;22987695.018
24828638;23145692.677
24872368;23175447.009
24775346;23049671.637
24679508;22961622.042
24626300;22838594.597
24533664;22760222.241
24481702;22691085.652
24467842;22578135.436
24248576;22386489.848
24035328;22395159.658
23859062;22422895.103
23639428;22457293.345
23438332;22478696.255
23201622;22444406.638
22911770;22376214.062
22609376;22316744.618
22341580;22306827.922
22106422;22321519.554
21966538;22372690.021
22111998;22474561.845
22326190;22577826.614
22518260;22697803.671
22719430;22807224.703
22923944;22922838.066
23077724;23031512.934
23105820;23122923.889
23015826;23213582.18
22913882;23296531.043
22792268;23337544.5
22713528;23378552.253
22649782;23428356.546
22583392;23477271.567
22373192;23559672.21
22374570;23684828.174
22395968;23815519.755
22424690;23811435.335
22442146;23776543.102
22407752;23696154.144
22338890;23574414.613
22278632;23457456.843
22264688;23378973.425
22281010;23332749.545
22326646;23258322.149
22407834;23253614.645
22505704;23240828.565
22624758;23246898.088
22733860;23261492.235
22849012;23295724.256
22957450;23308337.974
23047122;23262396.144
23135704;23280520.75
23218796;23314475.511
23249798;23274895.086
23276994;23187439.942
23329964;23136972.15
23376024;23176779.229
23451868;23247610.361
23569618;23354006.551
23692906;23464410.295
23699458;23566192.144
23675350;23633744.066
23608264;23654899.676
23494152;23652757.836
23385720;23647821.808
23309980;23659155.308
23263616;23693305.608
23197064;23721814.683
23162680;23443795.513
23149206;23271822.059
23151258;23126263.854
23162936;22974070.513
23193440;22810008.382
23206852;22584767.563
23162050;22251703.388
23177294;21825829.302
23210318;21375273.289
23178510;21156666.236
23099294;21010681.392
23054542;20974762.863
23084012;21067150.602
23145960;21179743.444
23238906;21314661.015
23337250;21411455.164
23429194;21486591.754
23490190;21391062.08
23512784;21263939.808
23513240;21027307.047
23508434;21180986.24
23517184;21336504.43
23549850;21562557.056
23575894;21782426.416
23363130;21979487.361
23210774;22333335.844
23081582;22676096.213
22939350;22891127.02
22789678;23124969.351
22581342;23305471.846
22274690;23220494.652
21879034;22987316.937
21454612;22830935.793
21224538;22757738.405
21102916;22649124.412
21094368;22502518.45
21169328;22438350.156
21285728;22404265.145
21417914;22389869.884
21522310;22400184.318
21603310;22348114.339
21524902;22268769.969
21403480;22217204.789
21083148;22137448.347
21174132;22113352.632
21362742;22001224.28
21570370;21942797.584
21779124;22109749.413
